customer_id,age,gender,region,employment_type,annual_income,account_tenure_years,avg_monthly_balance,monthly_salary_credit,monthly_spend,credit_card,credit_utilization_pct,overdraft_usage,overdraft_frequency,missed_payments,digital_logins_per_month,branch_visits_per_year,customer_support_calls,complaints_raised,satisfaction_score,churn_risk
CUST_0001,56,Female,Urban,Salaried,1025950,24,103306,106818,77296,No,99.13803630516392,Yes,1,0,18,2,1,Yes,8,High
CUST_0002,46,Male,Rural,Salaried,728097,15,94986,33695,27167,Yes,71.36551571218295,Yes,0,0,17,1,4,No,3,High
CUST_0003,32,Female,Semi-Urban,Salaried,676381,0,188631,83157,38574,Yes,70.6193528070432,Yes,0,0,25,5,3,No,1,High
CUST_0004,60,Male,Semi-Urban,Salaried,1058475,20,164285,28899,79863,Yes,74.21450910683453,No,2,0,18,4,2,No,3,High
CUST_0005,25,Other,Urban,Self-Employed,315446,2,99415,101961,35955,No,20.029478266648763,Yes,1,1,18,8,0,Yes,3,Medium
CUST_0006,38,Male,Rural,Self-Employed,254252,21,206568,62258,47507,Yes,14.440884625319022,Yes,1,1,15,7,0,No,6,Low
CUST_0007,56,Male,Semi-Urban,Salaried,640901,17,109677,108057,94396,Yes,17.32824271164858,No,2,0,12,0,1,No,3,Medium
CUST_0008,36,Male,Urban,Salaried,1227265,8,51867,84742,53805,Yes,78.36265333344595,No,0,0,22,5,3,Yes,2,High
CUST_0009,40,Other,Semi-Urban,Salaried,656080,5,59282,33303,36830,Yes,31.320205277937724,Yes,0,0,18,7,1,No,9,Low
CUST_0010,28,Female,Semi-Urban,Self-Employed,1409704,22,41700,112738,33059,No,13.716095444017828,Yes,0,1,18,2,2,No,6,Low
CUST_0011,28,Female,Urban,Self-Employed,1270355,20,98207,116537,63317,No,34.22509499450467,Yes,2,0,17,8,1,No,5,Low
CUST_0012,41,Male,Urban,Salaried,949031,24,218697,96468,21671,No,39.03486170713431,Yes,0,2,18,3,1,Yes,3,High
CUST_0013,53,Female,Urban,Salaried,968903,0,55592,47152,48816,Yes,51.710331842364056,Yes,2,0,21,2,2,Yes,7,Low
CUST_0014,57,Male,Urban,Self-Employed,948700,20,135078,60819,63330,Yes,51.27377551780108,No,1,1,17,7,2,No,7,Low
CUST_0015,41,Female,Rural,Salaried,905901,9,67464,74362,87478,No,24.295485903162298,Yes,1,1,18,3,2,Yes,4,Medium
CUST_0016,20,Male,Rural,Salaried,721815,5,99175,48888,71688,Yes,62.141409812842774,No,2,0,24,4,0,Yes,10,Low
CUST_0017,39,Male,Semi-Urban,Salaried,762434,22,0,120770,37148,No,29.020161656246046,No,0,0,24,6,2,No,2,Medium
CUST_0018,19,Male,Urban,Self-Employed,475513,11,102356,74329,84460,Yes,41.09309158237392,No,3,0,29,7,0,No,2,High
CUST_0019,41,Male,Urban,Salaried,150000,3,104503,0,47512,No,62.16935176258387,No,1,1,9,3,3,No,8,Low
CUST_0020,61,Female,Semi-Urban,Salaried,1236424,12,163223,80180,24107,Yes,28.954464901391464,No,1,0,14,2,1,No,4,Medium
CUST_0021,47,Male,Semi-Urban,Self-Employed,905040,16,137862,59555,50698,Yes,30.766214410471562,No,0,1,20,7,1,No,7,Low
CUST_0022,55,Female,Urban,Salaried,852173,7,24128,67752,90954,No,59.79170124232827,No,5,0,24,3,3,No,3,High
CUST_0023,19,Male,Semi-Urban,Salaried,989457,19,206735,58941,59131,No,23.556670584874514,Yes,0,0,16,5,3,No,9,Low
CUST_0024,38,Female,Rural,Salaried,560060,2,136824,94211,55313,Yes,35.38019940989823,Yes,0,0,17,3,1,No,10,Low
CUST_0025,50,Male,Urban,Salaried,499628,11,135871,103590,95930,No,58.89355445107231,No,1,0,21,2,1,No,9,Low
CUST_0026,29,Male,Urban,Self-Employed,750710,6,119265,78491,19216,No,96.35231103589938,No,1,0,21,5,1,Yes,7,High
CUST_0027,39,Female,Semi-Urban,Salaried,1328834,11,78579,59820,22860,Yes,60.135112619068664,No,2,1,17,5,1,No,7,Low
CUST_0028,61,Male,Urban,Salaried,440940,1,137424,68759,14603,Yes,56.81599407475029,No,0,0,16,10,2,No,1,Medium
CUST_0029,42,Male,Urban,Salaried,150000,23,158047,70587,64316,Yes,58.27003959181824,No,1,0,11,5,3,Yes,10,Low
CUST_0030,44,Female,Urban,Self-Employed,667509,13,0,45927,59162,Yes,18.170243148323767,No,1,0,15,4,3,No,8,Low
CUST_0031,59,Female,Urban,Self-Employed,1249944,21,76899,87367,93568,No,47.8899184669977,No,0,1,19,5,1,Yes,2,Medium
CUST_0032,45,Male,Semi-Urban,Salaried,243609,22,99604,83801,61086,Yes,44.255837791589954,No,2,1,17,4,4,No,8,Low
CUST_0033,33,Male,Semi-Urban,Salaried,436900,4,140493,116213,44896,Yes,53.039613509318905,No,1,1,24,5,3,No,2,Medium
CUST_0034,32,Female,Urban,Self-Employed,942241,8,215464,107660,55044,Yes,47.91270131189677,No,0,1,12,6,2,No,1,Medium
CUST_0035,64,Male,Rural,Salaried,1749467,20,58260,49429,57942,Yes,54.49249193542781,Yes,1,1,18,3,2,Yes,8,Low
CUST_0036,61,Male,Rural,Self-Employed,374625,10,80163,94608,13205,Yes,37.213320127519964,No,1,0,19,4,4,No,4,Medium
CUST_0037,20,Male,Rural,Self-Employed,361073,4,78997,41471,122758,Yes,46.465222934294815,Yes,0,0,21,6,4,Yes,10,Low
CUST_0038,54,Female,Urban,Self-Employed,968544,2,55877,90877,67996,Yes,14.304285848575198,Yes,1,2,23,4,0,No,6,High
CUST_0039,24,Female,Urban,Salaried,1271636,16,92225,54501,60250,No,37.002318049927155,No,4,0,27,4,4,No,10,High
CUST_0040,38,Male,Rural,Salaried,631565,1,181664,39302,70379,Yes,79.7708387044161,Yes,3,0,18,5,2,No,10,High
CUST_0041,26,Male,Semi-Urban,Self-Employed,282512,23,35693,78401,72735,No,52.9702084907064,No,1,2,15,3,2,No,1,High
CUST_0042,56,Male,Urban,Salaried,1001812,0,154225,0,51486,Yes,44.47697406542308,Yes,1,0,20,5,2,No,9,Low
CUST_0043,35,Female,Urban,Salaried,1065194,6,0,17470,39218,Yes,92.40308190635866,No,0,2,19,3,1,No,7,High
CUST_0044,21,Male,Urban,Self-Employed,1472529,13,75092,64675,69986,Yes,10.979125542473021,Yes,1,0,24,3,2,No,5,Low
CUST_0045,42,Male,Rural,Self-Employed,1079931,4,93640,72473,64642,Yes,17.263611113844505,No,0,1,18,10,1,No,6,Low
CUST_0046,31,Female,Semi-Urban,Salaried,1139823,18,253988,58920,34752,No,87.81778528190682,Yes,0,0,16,3,1,No,3,High
CUST_0047,26,Male,Urban,Salaried,758249,10,98015,22616,90475,No,46.149023401223346,No,1,0,18,4,2,No,9,Low
CUST_0048,43,Female,Urban,Salaried,1704526,22,0,45463,62333,No,38.935424092755156,No,1,0,26,2,0,No,2,Medium
CUST_0049,19,Male,Semi-Urban,Self-Employed,710650,24,0,81736,73245,No,15.01989187260892,No,1,0,18,5,2,Yes,10,Low
CUST_0050,37,Male,Rural,Student,635827,1,122722,87453,89798,Yes,56.192406659875296,Yes,1,0,15,3,4,No,1,Medium
CUST_0051,45,Male,Urban,Salaried,1483330,7,169101,69513,55547,Yes,58.61149673818656,Yes,5,0,26,6,2,No,1,High
CUST_0052,64,Female,Semi-Urban,Salaried,334016,8,150036,104705,62923,No,17.637640979127593,Yes,5,1,23,4,1,Yes,10,High
CUST_0053,24,Female,Rural,Self-Employed,203407,2,133405,81921,75250,No,41.49311036123929,No,3,0,16,3,1,No,2,High
CUST_0054,61,Female,Urban,Salaried,891844,1,212980,47576,36878,No,36.612104199173345,No,2,0,18,3,3,No,6,Low
CUST_0055,25,Male,Semi-Urban,Salaried,849392,6,76832,61584,56351,Yes,51.399428660469276,No,1,2,21,2,1,No,6,High
CUST_0056,64,Female,Urban,Student,770239,4,191592,27914,58138,Yes,17.018743944483905,Yes,2,1,13,2,0,No,9,Low
CUST_0057,52,Male,Semi-Urban,Salaried,1197875,20,0,66755,31098,No,76.29868636282893,No,1,1,17,2,1,No,10,High
CUST_0058,31,Male,Semi-Urban,Self-Employed,532127,4,47604,103363,112940,Yes,67.8955945399401,No,0,0,10,6,4,No,4,Medium
CUST_0059,34,Female,Semi-Urban,Salaried,872458,19,0,90558,19817,Yes,35.9206110316796,Yes,3,0,15,6,4,No,8,High
CUST_0060,53,Male,Semi-Urban,Salaried,723962,12,98012,112060,22547,Yes,39.58953220904072,No,2,0,16,5,4,No,4,Medium
CUST_0061,57,Male,Urban,Self-Employed,538073,20,116299,60913,87855,No,41.5894462430596,No,0,0,20,4,3,No,3,Medium
CUST_0062,21,Male,Rural,Salaried,828355,19,129128,110382,72831,Yes,25.542286174837415,Yes,0,2,21,4,2,No,4,High
CUST_0063,19,Male,Semi-Urban,Student,1148408,5,124950,64200,29350,No,33.91426454412411,Yes,1,0,16,2,3,No,1,Medium
CUST_0064,23,Male,Urban,Salaried,1592198,19,45795,114147,70182,Yes,38.24324080813477,Yes,0,0,15,4,3,No,9,Low
CUST_0065,59,Female,Semi-Urban,Salaried,1052796,17,104780,69344,91696,No,85.3217092676782,No,3,0,13,9,2,Yes,5,High
CUST_0066,21,Male,Semi-Urban,Salaried,150000,24,204,91216,54243,No,68.66545770826092,Yes,0,1,18,3,1,No,7,Low
CUST_0067,46,Female,Urban,Salaried,836650,1,229058,114253,119970,Yes,68.36636768341559,Yes,1,1,27,4,1,Yes,3,Medium
CUST_0068,35,Female,Rural,Salaried,867430,24,95709,64197,11898,No,54.24814032510976,No,2,0,21,3,2,No,5,Low
CUST_0069,43,Male,Rural,Salaried,1177673,5,80889,76551,72345,Yes,17.066824776719134,Yes,2,0,19,5,5,No,10,Low
CUST_0070,61,Male,Urban,Salaried,914683,8,247115,108665,84163,Yes,43.96272238556552,Yes,3,0,19,6,1,No,4,High
CUST_0071,51,Male,Rural,Salaried,1288581,24,20620,66009,77283,No,69.2622114903345,No,1,0,13,2,2,No,7,Low
CUST_0072,27,Female,Urban,Self-Employed,987084,2,29953,30373,49891,Yes,13.543384265817803,Yes,0,1,20,6,1,No,5,Low
CUST_0073,53,Male,Urban,Self-Employed,1395579,0,32302,134290,47738,Yes,60.913830171831606,No,1,0,12,4,1,No,2,Medium
CUST_0074,31,Female,Urban,Self-Employed,696438,0,114570,55907,66103,Yes,100.0,No,1,1,15,0,3,Yes,3,High
CUST_0075,48,Male,Rural,Salaried,900520,18,154530,74762,75393,Yes,71.54541614974329,No,0,1,25,2,4,No,8,High
CUST_0076,32,Female,Semi-Urban,Salaried,1139324,4,179174,104680,70061,No,80.35072838904969,No,0,0,14,4,1,No,3,High
CUST_0077,25,Male,Urban,Self-Employed,649732,12,325759,51745,81001,Yes,50.458468761054014,Yes,2,1,12,4,1,No,7,Low
CUST_0078,31,Male,Urban,Salaried,573495,18,0,39763,29528,No,69.19829871912475,No,1,0,11,5,1,Yes,5,Low
CUST_0079,40,Female,Semi-Urban,Salaried,629726,11,168698,77612,49305,No,27.053669641149114,No,1,0,16,7,3,No,7,Low
CUST_0080,57,Female,Urban,Self-Employed,587774,15,75429,16207,31499,Yes,64.89659530853066,No,2,1,18,6,1,No,10,Low
CUST_0081,38,Male,Rural,Self-Employed,1032896,24,73086,61362,45347,Yes,61.35970335151908,No,1,0,21,7,0,No,9,Low
CUST_0082,33,Female,Rural,Salaried,207817,24,70418,77351,80380,No,52.24777935094157,No,2,1,16,5,2,No,7,Low
CUST_0083,62,Female,Semi-Urban,Salaried,305410,18,47298,61901,57699,Yes,77.90018549296246,No,1,1,16,6,3,No,6,High
CUST_0084,35,Female,Rural,Self-Employed,1501961,2,254761,23696,120171,Yes,31.530379053815285,No,0,1,19,3,0,No,1,Medium
CUST_0085,64,Female,Urban,Salaried,596216,11,187383,117825,59835,Yes,40.32356208815843,No,0,1,10,3,4,No,4,Medium
CUST_0086,41,Male,Rural,Self-Employed,920005,4,121855,73106,56492,No,47.38655103395742,No,0,0,28,3,1,No,8,Low
CUST_0087,43,Male,Semi-Urban,Self-Employed,328798,1,228081,112934,57654,No,19.259725722764987,No,1,2,15,3,2,No,1,High
CUST_0088,42,Male,Semi-Urban,Self-Employed,882943,21,0,62198,39054,Yes,50.673298595006194,No,2,0,14,3,0,No,6,Low
CUST_0089,62,Female,Urban,Salaried,598347,6,13543,43599,53554,Yes,2.0267396761538237,No,1,1,22,6,4,No,2,Medium
CUST_0090,58,Female,Rural,Salaried,302918,12,0,78075,83194,No,71.17386336070523,No,2,0,16,4,3,No,9,High
CUST_0091,46,Male,Urban,Self-Employed,1317922,24,64046,63526,57849,No,46.16593416414914,No,0,2,11,5,2,No,8,High
CUST_0092,32,Male,Urban,Self-Employed,1263898,14,132935,34667,35163,No,31.977677402405916,Yes,4,1,17,0,2,No,9,High
CUST_0093,62,Female,Urban,Self-Employed,812425,21,128228,114093,31872,No,24.140659692621963,No,1,1,15,3,0,No,9,Low
CUST_0094,18,Other,Semi-Urban,Salaried,1199796,2,131947,51331,43744,Yes,39.13552425952031,Yes,0,1,18,4,0,No,2,Medium
CUST_0095,42,Female,Semi-Urban,Salaried,1516152,20,7115,14792,56846,No,62.20649276931034,No,3,0,19,1,4,No,2,High
CUST_0096,24,Male,Semi-Urban,Self-Employed,1113926,19,184252,109844,84839,Yes,58.693474468439014,No,0,0,17,4,1,No,9,Low
CUST_0097,26,Male,Rural,Self-Employed,1017887,4,139170,54871,21487,Yes,27.361551318038476,Yes,2,0,18,6,4,Yes,2,Medium
CUST_0098,41,Male,Urban,Student,919632,23,178644,51765,47004,No,23.849008184309138,No,1,2,13,7,2,Yes,4,High
CUST_0099,18,Female,Semi-Urban,Self-Employed,1077324,7,0,17038,58607,Yes,61.422467657991184,No,3,1,21,4,0,No,2,High
CUST_0100,61,Male,Urban,Salaried,722628,21,144919,122228,9157,No,26.941314884624266,Yes,2,2,20,2,0,No,1,High
CUST_0101,25,Female,Rural,Self-Employed,753177,0,24978,31315,34160,Yes,46.49774435198759,No,1,0,16,3,2,No,10,Low
CUST_0102,41,Male,Rural,Self-Employed,1007811,7,88214,71753,38002,No,48.09386606310693,No,1,1,19,3,1,No,7,Low
CUST_0103,28,Female,Semi-Urban,Salaried,684147,23,162749,97378,35100,No,52.80155329316846,Yes,1,0,11,4,2,No,5,Low
CUST_0104,34,Female,Semi-Urban,Self-Employed,721970,17,127287,82651,59797,Yes,66.45676075454679,No,1,2,24,3,1,Yes,3,High
CUST_0105,25,Female,Urban,Salaried,850065,19,51876,68210,50986,No,13.425926578316933,No,1,1,23,1,3,Yes,8,Low
CUST_0106,52,Male,Urban,Salaried,1252712,15,120501,18950,41117,Yes,0.0,Yes,3,1,16,6,1,No,5,High
CUST_0107,52,Male,Rural,Self-Employed,453567,17,0,45708,65699,No,30.813817969291208,Yes,2,1,17,5,2,No,1,Medium
CUST_0108,50,Male,Urban,Salaried,1115712,19,212021,75634,98076,Yes,90.03821019580465,No,1,0,19,7,2,Yes,9,High
CUST_0109,22,Female,Urban,Salaried,1127128,11,103577,46384,95981,No,95.55435250218446,No,1,1,11,2,2,No,5,High
CUST_0110,59,Female,Urban,Salaried,1125034,12,209483,76100,6930,Yes,90.77942838914718,Yes,1,1,24,6,1,No,3,High
CUST_0111,56,Female,Rural,Salaried,567638,12,77877,90452,69426,Yes,40.17546580598276,Yes,3,0,8,2,1,No,6,High
CUST_0112,58,Female,Urban,Salaried,257561,9,78113,98875,50549,Yes,0.4471229503792813,No,0,1,17,2,3,No,8,Low
CUST_0113,45,Female,Urban,Salaried,1045895,6,58865,33214,58878,Yes,0.0,No,1,2,21,5,2,Yes,2,High
CUST_0114,24,Male,Semi-Urban,Student,915638,24,190093,135899,45042,No,29.64904596126472,No,3,0,16,4,2,No,3,High
CUST_0115,26,Female,Rural,Salaried,1201531,13,63245,93024,57939,No,40.048159246265996,No,1,1,18,5,3,No,7,Low
CUST_0116,25,Male,Urban,Salaried,604812,23,171567,69948,58785,No,77.51563502639897,No,1,0,29,9,1,No,2,High
CUST_0117,29,Male,Urban,Salaried,1116041,15,89403,102686,40526,Yes,66.69513648856115,No,1,0,21,5,3,No,5,Low
CUST_0118,51,Female,Urban,Self-Employed,1219044,14,0,140962,32590,Yes,50.68512697479051,No,1,0,17,3,1,No,9,Low
CUST_0119,50,Male,Urban,Salaried,816641,11,74374,26838,43782,Yes,22.753880726471458,No,2,0,12,3,1,Yes,7,Low
CUST_0120,40,Male,Urban,Self-Employed,995925,8,25671,63242,60856,No,20.980511043877744,No,1,3,16,1,2,No,3,High
CUST_0121,41,Female,Semi-Urban,Self-Employed,983688,7,122712,0,69974,No,51.35319217678588,No,1,1,19,0,1,No,2,Medium
CUST_0122,54,Male,Semi-Urban,Self-Employed,562485,17,24767,75779,76333,Yes,62.426274470993164,No,1,1,16,3,3,No,10,Low
CUST_0123,52,Female,Semi-Urban,Salaried,1035883,22,194078,80961,42645,Yes,54.797031556139615,No,0,4,16,5,1,No,9,High
CUST_0124,61,Male,Urban,Self-Employed,1417874,17,112713,68825,62096,Yes,19.13505100983363,No,2,0,18,1,2,No,9,Low
CUST_0125,57,Male,Rural,Salaried,857771,12,105792,50363,79062,No,61.266690719802156,Yes,2,1,13,2,1,No,9,Low
CUST_0126,39,Male,Urban,Student,338676,17,172471,8514,84139,No,55.64777417753528,No,2,0,14,3,1,No,10,Low
CUST_0127,44,Male,Rural,Self-Employed,609470,14,197112,81206,53529,No,18.233339845245542,No,2,0,22,4,3,No,3,Medium
CUST_0128,52,Female,Semi-Urban,Salaried,227199,3,118392,113663,49476,Yes,25.391975742493607,Yes,3,1,21,4,4,No,1,High
CUST_0129,18,Male,Urban,Salaried,1301591,16,58303,52269,59778,No,62.212399364039165,No,2,0,19,5,2,No,9,Low
CUST_0130,52,Female,Semi-Urban,Salaried,1117436,4,0,83201,26257,No,39.13731162135272,Yes,2,2,24,5,3,No,7,High
